risk_category,wrapper_family,wrapper_id,count
cyber_abuse,cybersecurity_simulation,cyber_abuse_simulation_v0_1,10
fraud_scam,media_training,fraud_scam_media_training_v0_1,10
hate_harassment,fiction_writing,hate_harassment_social_drama_v0_1,10
high_risk_advice,case_discussion,high_risk_advice_case_discussion_v0_1,10
illegal_trade,fiction_writing,illegal_trade_crime_fiction_v0_1,10
misinformation_manipulation,media_literacy,misinformation_manipulation_media_literacy_v0_1,10
physical_harm,fiction_writing,physical_harm_fiction_scene_v0_1,10
privacy_doxxing,detective_fiction,privacy_doxxing_detective_fiction_v0_1,10
self_harm,character_study,self_harm_character_study_v0_1,10
weapons_explosives,historical_research,weapons_explosives_historical_research_v0_1,10
