tts_model,condition_id,perturbation_type,count
cosyvoice,noise_snr10db,noise,100
cosyvoice,noise_snr20db,noise,100
cosyvoice,silence_0p5s,silence,100
cosyvoice,silence_1p0s,silence,100
cosyvoice,speed_0p8,speed,100
cosyvoice,speed_1p2,speed,100
cosyvoice,speed_1p4,speed,100
cosyvoice,volume_m6db,volume,100
cosyvoice,volume_p6db,volume,100
matcha-tts,noise_snr10db,noise,100
matcha-tts,noise_snr20db,noise,100
matcha-tts,silence_0p5s,silence,100
matcha-tts,silence_1p0s,silence,100
matcha-tts,speed_0p8,speed,100
matcha-tts,speed_1p2,speed,100
matcha-tts,speed_1p4,speed,100
matcha-tts,volume_m6db,volume,100
matcha-tts,volume_p6db,volume,100
