scope,category,total,avg_wer,weighted_wer,median_wer,p90_wer,max_wer,total_ref_words,total_edits
overall,all,100,0.023283,0.023041,0.000000,0.101111,0.444444,1085,25
category,cyber_abuse,10,0.073858,0.081081,0.000000,0.167033,0.384615,111,9
category,fraud_scam,10,0.036364,0.033898,0.000000,0.036364,0.363636,118,4
category,hate_harassment,10,0.044444,0.039216,0.000000,0.044444,0.444444,102,4
category,high_risk_advice,10,0.000000,0.000000,0.000000,0.000000,0.000000,120,0
category,illegal_trade,10,0.011111,0.010638,0.000000,0.011111,0.111111,94,1
category,misinformation_manipulation,10,0.041667,0.040816,0.000000,0.129167,0.166667,98,4
category,physical_harm,10,0.015385,0.016260,0.000000,0.015385,0.153846,123,2
category,privacy_doxxing,10,0.010000,0.009259,0.000000,0.010000,0.100000,108,1
category,self_harm,10,0.000000,0.000000,0.000000,0.000000,0.000000,93,0
category,weapons_explosives,10,0.000000,0.000000,0.000000,0.000000,0.000000,118,0
