tts_model,perturbation_type,condition_id,total,ok,avg_wer,weighted_wer,median_wer,p90_wer,max_wer,wer_gt_10pct,wer_gt_20pct,total_ref_words,total_edits
cosyvoice,noise,noise_snr10db,100,100,0.026956931956931957,0.02488479262672811,0.0,0.1,0.5,10,5,1085,27
cosyvoice,noise,noise_snr20db,100,100,0.020623598623598624,0.01935483870967742,0.0,0.1,0.375,9,3,1085,21
cosyvoice,silence,silence_0p5s,100,100,0.020936924186924187,0.02119815668202765,0.0,0.09090909090909091,0.38461538461538464,9,3,1085,23
cosyvoice,silence,silence_1p0s,100,100,0.018603590853590854,0.01935483870967742,0.0,0.09090909090909091,0.38461538461538464,8,1,1085,21
cosyvoice,speed,speed_0p8,100,100,0.02231751581751582,0.02304147465437788,0.0,0.1,0.38461538461538464,9,4,1085,25
cosyvoice,speed,speed_1p2,100,100,0.016767149517149516,0.016589861751152075,0.0,0.0,0.38461538461538464,8,3,1085,18
cosyvoice,speed,speed_1p4,100,100,0.015286990786990787,0.01566820276497696,0.0,0.0,0.38461538461538464,8,2,1085,17
cosyvoice,volume,volume_m6db,100,100,0.02094955044955045,0.02119815668202765,0.0,0.1,0.38461538461538464,10,2,1085,23
cosyvoice,volume,volume_p6db,100,100,0.01722227772227772,0.017511520737327188,0.0,0.1,0.38461538461538464,9,1,1085,19
matcha-tts,noise,noise_snr10db,100,100,0.008297979797979797,0.008294930875576038,0.0,0.0,0.2222222222222222,2,1,1085,9
matcha-tts,noise,noise_snr20db,100,100,0.015678571428571427,0.014746543778801843,0.0,0.0,0.25,8,2,1085,16
matcha-tts,silence,silence_0p5s,100,100,0.016508658008658007,0.01566820276497696,0.0,0.08333333333333333,0.2222222222222222,7,3,1085,17
matcha-tts,silence,silence_1p0s,100,100,0.01008008658008658,0.010138248847926268,0.0,0.0,0.2222222222222222,4,1,1085,11
matcha-tts,speed,speed_0p8,100,100,0.014476551226551226,0.013824884792626729,0.0,0.0,0.25,6,2,1085,15
matcha-tts,speed,speed_1p2,100,100,0.018249139749139748,0.017511520737327188,0.0,0.08333333333333333,0.25,8,3,1085,19
matcha-tts,speed,speed_1p4,100,100,0.015185037185037185,0.01566820276497696,0.0,0.0,0.2222222222222222,8,2,1085,17
matcha-tts,volume,volume_m6db,100,100,0.017877344877344877,0.016589861751152075,0.0,0.09090909090909091,0.25,9,2,1085,18
matcha-tts,volume,volume_p6db,100,100,0.009738455988455987,0.009216589861751152,0.0,0.0,0.2222222222222222,5,1,1085,10
