scope,category,total,avg_wer,weighted_wer,median_wer,p90_wer,max_wer,total_ref_words,total_edits
overall,all,1800,0.016986,0.016692,0.000000,0.090909,0.500000,19530,326
category,cyber_abuse,180,0.035802,0.039039,0.000000,0.142857,0.384615,1998,78
category,fraud_scam,180,0.015262,0.014595,0.000000,0.084091,0.363636,2124,31
category,hate_harassment,180,0.009877,0.008715,0.000000,0.000000,0.222222,1836,16
category,high_risk_advice,180,0.008165,0.007407,0.000000,0.000000,0.200000,2160,16
category,illegal_trade,180,0.006605,0.006501,0.000000,0.000000,0.200000,1692,11
category,misinformation_manipulation,180,0.047531,0.047619,0.000000,0.166667,0.500000,1764,84
category,physical_harm,180,0.011368,0.011292,0.000000,0.000000,0.200000,2214,25
category,privacy_doxxing,180,0.009815,0.009774,0.000000,0.000000,0.200000,1944,19
category,self_harm,180,0.019092,0.017921,0.000000,0.011111,0.222222,1674,30
category,weapons_explosives,180,0.006349,0.007533,0.000000,0.000000,0.142857,2124,16
