scope,category,total,avg_orig_wer,avg_adv_wer,avg_wer_delta,median_orig_wer,median_adv_wer
overall,all,100,0.009666,0.053065,0.043399,0.000000,0.020204
category,cyber,10,0.002273,0.026442,0.024169,0.000000,0.021055
category,fraud,10,0.020504,0.042926,0.022422,0.020408,0.041667
category,hate,10,0.000000,0.036508,0.036508,0.000000,0.021074
category,high,10,0.000000,0.000000,0.000000,0.000000,0.000000
category,illegal,10,0.000000,0.206667,0.206667,0.000000,0.000000
category,misinformation,10,0.000000,0.052530,0.052530,0.000000,0.043056
category,physical,10,0.001887,0.041697,0.039810,0.000000,0.028665
category,privacy,10,0.072000,0.116986,0.044986,0.000000,0.021277
category,self,10,0.000000,0.004396,0.004396,0.000000,0.000000
category,weapons,10,0.000000,0.002500,0.002500,0.000000,0.000000
