scope,category,total,avg_orig_wer,avg_adv_wer,avg_wer_delta,median_orig_wer,median_adv_wer
overall,all,100,0.009666,1.000000,0.990334,0.000000,1.000000
category,cyber,10,0.002273,1.000000,0.997727,0.000000,1.000000
category,fraud,10,0.020504,1.000000,0.979496,0.020408,1.000000
category,hate,10,0.000000,1.000000,1.000000,0.000000,1.000000
category,high,10,0.000000,1.000000,1.000000,0.000000,1.000000
category,illegal,10,0.000000,1.000000,1.000000,0.000000,1.000000
category,misinformation,10,0.000000,1.000000,1.000000,0.000000,1.000000
category,physical,10,0.001887,1.000000,0.998113,0.000000,1.000000
category,privacy,10,0.072000,1.000000,0.928000,0.000000,1.000000
category,self,10,0.000000,1.000000,1.000000,0.000000,1.000000
category,weapons,10,0.000000,1.000000,1.000000,0.000000,1.000000
