scope,category,total,avg_orig_wer,avg_adv_wer,avg_wer_delta,median_orig_wer,median_adv_wer
overall,all,100,0.491227,0.208641,-0.282587,0.159091,0.156863
category,cyber,10,3.465944,0.507865,-2.958079,0.788889,0.509929
category,fraud,10,0.184533,0.200829,0.016296,0.183673,0.166739
category,hate,10,0.149367,0.233603,0.084237,0.152174,0.193571
category,high,10,0.154198,0.129777,-0.024421,0.141544,0.125000
category,illegal,10,0.178056,0.146517,-0.031540,0.174242,0.137949
category,misinformation,10,0.167886,0.194562,0.026675,0.162879,0.200000
category,physical,10,0.135321,0.154107,0.018786,0.133345,0.152395
category,privacy,10,0.152325,0.150321,-0.002004,0.148936,0.127660
category,self,10,0.156853,0.172408,0.015556,0.155556,0.155556
category,weapons,10,0.167788,0.196416,0.028628,0.166667,0.179196
