scope,category,total,avg_orig_wer,avg_adv_wer,avg_wer_delta,median_orig_wer,median_adv_wer
overall,all,100,0.009666,0.555444,0.545778,0.000000,0.747549
category,cyber,10,0.002273,0.394617,0.392345,0.000000,0.314646
category,fraud,10,0.020504,0.219851,0.199347,0.020408,0.021055
category,hate,10,0.000000,0.699848,0.699848,0.000000,0.782609
category,high,10,0.000000,0.620915,0.620915,0.000000,0.745098
category,illegal,10,0.000000,0.979545,0.979545,0.000000,1.000000
category,misinformation,10,0.000000,0.340492,0.340492,0.000000,0.292614
category,physical,10,0.001887,0.009271,0.007385,0.000000,0.000000
category,privacy,10,0.072000,0.809905,0.737905,0.000000,0.765957
category,self,10,0.000000,0.580000,0.580000,0.000000,0.900000
category,weapons,10,0.000000,0.900000,0.900000,0.000000,1.000000
