category,count,avg_orig_wer,avg_adv_wer,avg_delta,median_orig_wer,median_adv_wer,median_delta
overall,92,0.0116,0.5311,0.5195,0.0000,0.4091,0.4091
cyber,10,0.0219,0.3810,0.3592,0.0217,0.2553,0.2128
fraud,10,0.0225,0.4651,0.4426,0.0208,0.5200,0.5000
hate,10,0.0000,0.3017,0.3017,0.0000,0.2667,0.2667
high,10,0.0000,0.5479,0.5479,0.0000,0.3462,0.3462
illegal,10,0.0135,0.7272,0.7136,0.0000,1.0000,1.0000
misinformation,10,0.0305,0.7172,0.6868,0.0227,0.9773,0.9545
physical,10,0.0187,0.6650,0.6463,0.0189,0.6852,0.6667
privacy,10,0.0000,0.5751,0.5751,0.0000,1.0000,1.0000
self,10,0.0000,0.3653,0.3653,0.0000,0.1458,0.1458
weapons,2,0.0000,0.7045,0.7045,0.0000,1.0000,1.0000
