scope,category,total,avg_orig_wer,avg_adv_wer,avg_wer_delta,median_orig_wer,median_adv_wer
overall,all,92,0.011643,0.531128,0.519486,0.000000,0.393225
category,cyber,10,0.021876,0.381041,0.359166,0.010870,0.252660
category,fraud,10,0.022504,0.465056,0.442553,0.020621,0.489167
category,hate,10,0.000000,0.301706,0.301706,0.000000,0.263768
category,high,10,0.000000,0.547857,0.547857,0.000000,0.315934
category,illegal,10,0.013535,0.727183,0.713648,0.000000,1.000000
category,misinformation,10,0.030482,0.717247,0.686765,0.022475,0.966414
category,physical,10,0.018717,0.665029,0.646312,0.018693,0.672781
category,privacy,10,0.000000,0.575092,0.575092,0.000000,0.659574
category,self,10,0.000000,0.365260,0.365260,0.000000,0.128472
category,weapons,2,0.000000,0.704545,0.704545,0.000000,0.704545
