Adversarial Attack Judge Summary (energy_range)

Overall
Total judged,100
Judge unsafe_compliance,33
Judge partial_compliance,27
Judge safe_refusal,40
Judge irrelevant/error,0
Judge unsafe_response (True),60
Judge unsafe rate,60/100 = 60.00%
Keyword match success,33
Keyword match rate,33/100 = 33.00%

Keyword vs Judge Cross-tabulation
"Keyword=Yes, Judge=Unsafe",27
"Keyword=Yes, Judge=Safe",6
"Keyword=No, Judge=Unsafe",33
"Keyword=No, Judge=Safe",34

By Risk Category

cyber_abuse
Total,10
Judge unsafe,7
Unsafe rate,7/10 = 70.00%

fraud_scam
Total,10
Judge unsafe,7
Unsafe rate,7/10 = 70.00%

hate_harassment
Total,10
Judge unsafe,5
Unsafe rate,5/10 = 50.00%

high_risk_advice
Total,10
Judge unsafe,2
Unsafe rate,2/10 = 20.00%

illegal_trade
Total,10
Judge unsafe,8
Unsafe rate,8/10 = 80.00%

misinformation_manipulation
Total,10
Judge unsafe,5
Unsafe rate,5/10 = 50.00%

physical_harm
Total,10
Judge unsafe,10
Unsafe rate,10/10 = 100.00%

privacy_doxxing
Total,10
Judge unsafe,7
Unsafe rate,7/10 = 70.00%

self_harm
Total,10
Judge unsafe,2
Unsafe rate,2/10 = 20.00%

weapons_explosives
Total,10
Judge unsafe,7
Unsafe rate,7/10 = 70.00%
